x,y,yaw,steering_angle,cmd_vel,actual_vel
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.006276599937661101,-6.495753505293186e-07,-0.00023966295530832916,-0.027311673387885094,6.0,0.34236
0.035281768633795105,-0.00011069674507641148,-0.0012618947469083216,-0.027311673387885094,6.0,0.8178599999999998
0.08806007462692625,-0.0005891497688051699,-0.0034409091388145855,-0.027311673387885094,6.0,1.2933599999999996
0.16461076510018358,-0.0014450513086660063,-0.006442448172462778,-0.027311673387885094,6.0,1.7688599999999994
0.26493169586730375,-0.002827999842849595,-0.010284641467557943,-0.027311673387885094,6.0,2.2443599999999995
0.38901984764721187,-0.004899572485852951,-0.014597337352594298,-0.027311673387885094,6.0,2.7198599999999993
0.5368703009916909,-0.007876410266136552,-0.019414731503753193,-0.020834123715758324,6.0,3.195359999999999
0.7084771838327161,-0.011957025935186359,-0.024384333788211945,-0.020834123715758324,6.0,3.670859999999999
0.9038202342008028,-0.017375297285666343,-0.029571592964018366,-0.014308718033134937,6.0,4.143922587
1.1213282154480255,-0.02429907975357288,-0.03492005080301766,-0.014308718033134937,6.0,4.545187525084728
1.3566003007395955,-0.03287045423886091,-0.04101042853973282,-0.014308718033134937,6.0,4.85970309085966
1.6057738977420364,-0.04320495311339647,-0.04764178505476504,-0.003714863210916519,6.0,5.106223610661065
1.8658143243158065,-0.05546982975262089,-0.05502541828757159,-0.003714863210916519,6.0,5.299448917438546
2.0800509988185785,-0.06676003078286007,-0.06128025137885665,-0.003714863210916519,6.0,5.423487732399489
2.4094775240338997,-0.08620080258999446,-0.06962430397790721,0.015145005658268929,6.0,5.569610497630821
2.6898492198114496,-0.10337539268814014,-0.06527226434194702,0.015145005658268929,6.0,5.662656302623054
2.9743717548038107,-0.12032466566554073,-0.05554137758943359,0.031197667121887207,6.0,5.735586556982673
3.2621999396039434,-0.1361632718811172,-0.04479568138664127,0.031197667121887207,6.0,5.7927500368558675
3.5526637175281555,-0.1501541315886795,-0.033871943033017674,0.02994660474359989,6.0,5.837555357499619
3.786563149194583,-0.1597080468011205,-0.02531138156229875,0.02994660474359989,6.0,5.866317629736539
4.139426351466138,-0.17093461557524503,-0.012573685505665535,0.02994660474359989,6.0,5.900200755392959
4.4349284044170325,-0.1772366296608797,-0.002040413521175811,0.02170697972178459,6.0,5.921776330542823
4.731436094339933,-0.18060300571084148,0.008716191925158191,0.02170697972178459,6.0,5.938687487190519
5.028713212654407,-0.1809675468407358,0.019380339942428527,0.013912123627960682,6.0,5.951942624871737
5.3265662886275935,-0.17823361624235864,0.030286547806653828,0.013912123627960682,6.0,5.962332137464419
5.624835447936622,-0.17237342609488632,0.04109054646725342,0.004873167257755995,6.0,5.970475543780481
5.923386264943788,-0.16331741470257968,0.052117831020513386,0.004873167257755995,6.0,5.976858429006028
6.2221062495178545,-0.15105869610837372,0.06302086226474021,0.004873167257755995,6.0,5.981861399780329
6.520897184044837,-0.1355443125405967,0.07412785487522164,0.004873167257755995,6.0,5.98578277948309
6.819676077116817,-0.11678102538754803,0.08509356282934313,0.004873167257755995,6.0,5.988856397032928
7.05863941332614,-0.09940595792277696,0.09394952239388664,0.004873167257755995,6.0,5.990829471289522
7.357212266981901,-0.07472216321231755,0.10511976395183688,0.004873167257755995,6.0,5.992812045728196
7.655584080866677,-0.04675740966470658,0.11613466250679814,0.0026005071122199297,6.0,5.9943660078666445
8.013283808629621,-0.008835974738697554,0.12946810673550802,0.0026005071122199297,6.0,5.995793999179378
8.311017237660762,0.026404740183960163,0.14067297155978797,0.0026005071122199297,6.0,5.996703293504631
8.604134828506877,0.06437290781946466,0.15458600646861223,0.19694751501083374,4.0,5.711709356430712
8.874699635873469,0.10553334745251527,0.20993930055269855,0.19694751501083374,4.0,5.23620935643071
9.118638121668578,0.15949644903368312,0.37620784747936,0.3337486982345581,4.0,4.760709356430708
9.330922010579286,0.23712301346826953,0.6687474419106508,0.3337486982345581,4.0,4.311762065139078
9.506801348896541,0.35015743888760453,0.9850066855169268,0.3110775947570801,4.0,4.108570573465579
9.64176820725794,0.5014412770315577,1.2225911900576167,0.3110775947570801,4.0,4.037809505198736
9.736951901462287,0.6867753700898724,1.3478011248547415,0.09986888617277145,6.0,4.379314754208276
9.808928730339773,0.9030828043379596,1.3780331225215388,0.09986888617277145,6.0,4.729690315191113
9.868336302283367,1.1393135454234182,1.3957633743592726,0.06791499257087708,6.0,5.0043182662954715
9.919616185108277,1.3899126069415835,1.4186632671243544,0.06791499257087708,6.0,5.21957446543281
9.963745253822633,1.6515661620639146,1.4500291364292373,0.07836174219846725,6.0,5.388294477655622
9.99352840100778,1.8672771764053584,1.480111609292708,0.07836174219846725,6.0,5.496602394073701
10.022933398077797,2.1433578575884185,1.5218380246463816,0.07492675632238388,6.0,5.605431803752001
10.045142206884845,2.4820684617027116,1.5756862931393254,0.07492675632238388,6.0,5.705439035424733
10.051412502815241,2.7689056945180255,1.6227334066727532,0.034422047436237335,6.0,5.769120100872013
10.045645426381967,3.058580445195573,1.6697776925529118,0.034422047436237335,6.0,5.819033971802029
10.02856185584371,3.350030890391265,1.7056517581402395,-0.0029297112487256527,6.0,5.858156974749913
10.002262189362556,3.6425490904835782,1.7208884494756636,-0.0029297112487256527,6.0,5.888821984919253
9.970412724535448,3.9358880793874698,1.7138992275334373,-0.03375076875090599,6.0,5.912857533773679
9.936703855989478,4.2300953997806685,1.6911089263324734,-0.03375076875090599,6.0,5.931696842991033
9.90501258525133,4.525366088192493,1.6574509062497715,-0.033401619642972946,6.0,5.94646328639271
9.87810703098168,4.821766053721716,1.6216659997156648,-0.033401619642972946,6.0,5.958037375878647
9.857924087030474,5.119212764738213,1.5878634935819718,-0.014553539454936981,6.0,5.967109265688842
9.844215917892035,5.417432411625002,1.5679064075841425,-0.014553539454936981,6.0,5.974219905780948
9.836521084876972,5.7161845941556315,1.5553956680049354,0.014450909569859505,6.0,5.979793298268875
9.833449160416135,6.015270672393215,1.5513999605159892,0.014450909569859505,6.0,5.984161780349551
9.83259543333734,6.314566200564881,1.5597733838695662,0.014450909569859505,6.0,5.987585841319689
9.832229427596205,6.614014920235882,1.572585533123972,0.07719000428915024,6.0,5.990269655356398
9.82852817571007,6.913555544731935,1.6075729697098877,0.07719000428915024,6.0,5.992373256269599
9.81714262104462,7.201040222080406,1.6868994747582926,0.2002767026424408,4.0,5.516873256269597
9.788653665452445,7.463359819837303,1.8706728105857096,0.30266761779785156,4.0,5.041373256269595
9.734292962971224,7.697049843947601,2.1444859448316747,0.30266761779785156,4.0,4.565873256269593
9.642290988696653,7.893964236352206,2.5002056728076436,0.25670841336250305,4.0,4.202452373718557
9.505640595267181,8.04739644968259,2.7842493058570654,0.25670841336250305,4.0,4.070503671780227
9.329607523339241,8.154373614539214,2.9360069726670925,0.06506749242544174,6.0,4.311896895718284
9.118507412297822,8.232022626540452,2.950891936689249,0.06506749242544174,6.0,4.6768475076248155
8.885919937598201,8.296054704397614,2.9466936011174103,-0.013355194590985775,6.0,4.962899532831796
8.638901337789488,8.355050070098342,2.9381996261303676,-0.013355194590985775,6.0,5.187110038186344
8.381669099413392,8.41408631323702,2.9233643212344678,0.015699351206421852,6.0,5.362848527277507
8.116597795906857,8.473827108885928,2.9207134922338645,0.015699351206421852,6.0,5.5005941538671586
7.845327893138533,8.5338607709189,2.9287414046753137,0.06520431488752365,6.0,5.608560585937331
7.568509766186854,8.590838512639762,2.962707706960417,0.06520431488752365,6.0,5.693185780526551
7.286693908927256,8.64171941861267,3.0102774044305063,0.07129640132188797,6.0,5.759515874259839
7.000454530989982,8.683759478310066,3.061786619354228,0.07129640132188797,6.0,5.811506080675591
6.710499137865806,8.714807263825962,3.1135923543904145,0.04685573652386665,6.0,5.852256536630338
6.41774446041597,8.734623493632164,-3.1293483285931796,0.04685573652386665,6.0,5.884197161124889
6.123034898043179,8.743573860046332,-3.098369930414267,0.013066294603049755,6.0,5.909232549544465
5.82707257550848,8.743656096625992,-3.082125022285186,0.013066294603049755,6.0,5.9288555432472325
5.530319707242703,8.736597682559305,-3.0727351582929097,-0.008420678786933422,6.0,5.944236246570285
5.233013014525394,8.725234865774151,-3.076565826794097,-0.008420678786933422,6.0,5.956291799270095
4.935249424191908,8.711947791581128,-3.0879845646135777,-0.015918411314487457,6.0,5.965741064875527
4.637067055982128,8.69863678313145,-3.1013055699718466,-0.015918411314487457,6.0,5.973147495978716
4.338498999526408,8.686673278260676,-3.1142412392483587,-0.012465986423194408,6.0,5.978952732488816
4.039591525335827,8.676971043249049,-3.1267276897287,-0.012465986423194408,6.0,5.9835029362872
3.7404057731935714,8.67001632530722,-3.138514773976795,-0.0035706614144146442,6.0,5.987069432599762
3.441006485086575,8.66611477552837,3.133066522474074,-0.0035706614144146442,6.0,5.989864888915817
3.141458626397136,8.665358045414864,3.122158485668585,0.004946289584040642,6.0,5.992055996190326
2.8418134436862514,8.666464617194046,3.1235482260904317,0.004946289584040642,6.0,5.993773408500022
2.5420946471222106,8.668166133922654,3.133138127462251,0.009356854483485222,6.0,5.995119533847607
2.2423133273429303,8.669217409431587,-3.137787355760249,0.009356854483485222,6.0,5.996174640673835
1.9424843963574716,8.668590459088993,-3.1253610951180257,0.002724855672568083,6.0,5.9970016442041905
1.6426340235069083,8.665537206617154,-3.1130640685327364,0.002724855672568083,6.0,5.997649858036402
1.3427968101673746,8.65967359516374,-3.1016330056555623,-0.010107752867043018,6.0,5.998157934673135
1.0429741017136416,8.652110196255673,-3.102699349425823,-0.010107752867043018,6.0,5.998556170341623
0.7431472245371593,8.644023623241907,-3.112119658583281,-0.022961294278502464,6.0,5.998868311534881
0.4432891736764414,8.636615536350833,-3.124305968034386,-0.022961294278502464,6.0,5.9991129709972
0.1433837066833707,8.6308960519717,-3.136710241136337,-0.0162440687417984,6.0,5.999304737588073
-0.15656640304061062,8.627607433892367,3.134176299585017,-0.0162440687417984,6.0,5.999455046204901
-0.456540621896224,8.627159148997297,3.122411921602165,-0.00665477616712451,6.0,5.999572859637314
-0.7565084216835487,8.629823415925182,3.1107643601971433,-0.00665477616712451,6.0,5.999665203011565
-1.0564350935306588,8.635676011627206,3.0997965773425475,0.004973177332431078,6.0,5.999737582693519
-1.3563231547629127,8.643425103701933,3.1011537111185272,0.004973177332431078,6.0,5.999794314629105
-1.6561972404139407,8.651794736751949,3.1107443314756855,0.01257767342031002,6.0,5.999838781700919
-1.9560900937363637,8.65953132887612,3.1230261110374307,0.01257767342031002,6.0,5.999873635446967
-2.256022497690874,8.665598821587889,3.13548238066008,0.005427444353699684,6.0,5.999900954169879
-2.555994970602791,8.66924262219587,-3.1353762928886235,0.005427444353699684,6.0,5.99992236686453
-2.8559892228723873,8.670074171834866,-3.123920423513114,-0.004663628526031971,6.0,5.999939150353775
-3.1559851046950467,8.669202179090497,-3.124973069492867,-0.004663628526031971,6.0,5.999952305424439
-3.455979717942522,8.667803171212993,-3.1343901708130275,-0.01006102841347456,6.0,5.999962616503479
-3.755976964448094,8.66708012935943,3.1366055321227617,-0.01006102841347456,6.0,5.999970698432774
-4.055973484522849,8.668044700810178,3.124195216676875,-0.0003461188462097198,6.0,5.999977033131681
-4.355952245620081,8.671440141693758,3.1118900284228923,-0.0003461188462097198,6.0,5.999981998333525
-4.6558860224266745,8.677649805605494,3.100443407746778,0.012425104156136513,6.0,5.999985890109554
-4.955780861827474,8.685563052857862,3.1014997522648824,0.012425104156136513,6.0,5.999988940523441
-5.255661616640015,8.69400305954923,3.110918234012562,0.0205274298787117,6.0,5.99999133146907
-5.555560523354609,8.70176715093107,3.1231083313571646,0.0205274298787117,6.0,5.999993205516727
-5.855498041779982,8.707843895374078,3.13551883328789,0.013529948890209198,6.0,5.999994674414463
-6.155474645279162,8.711489883798038,-3.135361192169991,0.013529948890209198,6.0,5.999995825751545
-6.4554721207967285,8.712294876015392,-3.1235911671306678,0.003477097488939762,6.0,5.999996728181333
-6.7554616812554995,8.709986231037952,-3.1119391232982,0.003477097488939762,6.0,5.99999743551504
-7.055409806523567,8.704488023184705,-3.1009680006272187,-0.008612561970949173,6.0,5.9999979899304385
-7.355318349285054,8.69709219902909,-3.102323504340284,-0.008612561970949173,6.0,5.999998424486903
-7.655211125279209,8.689074939363824,-3.1119139698237426,-0.008612561970949173,6.0,5.999998765096708
-7.9551199510908575,8.681690152479812,-3.1241964530235475,-0.008612561970949173,6.0,5.99999903207016
-8.25506482744169,8.675974207754251,-3.1366537470794023,-0.011584117077291012,6.0,5.999999241326683
-8.555045726990155,8.672681921026907,3.13420390455303,-0.011584117077291012,6.0,5.999999405344089
-8.855044099406483,8.67222836153219,3.1224238386173297,-0.0023821406066417694,6.0,5.99999953390261
-9.155030877948434,8.674887994071197,3.1107676329336376,-0.0023821406066417694,6.0,5.999999634668095
-9.454972459355023,8.680737294592308,3.099794977329081,0.007521085906773806,6.0,5.999999713649114
-9.754872209351651,8.688484425943406,3.101150037273359,0.007521085906773806,6.0,5.999999775555245
-10.054755442120424,8.696853191085825,3.1107404598177957,0.01886107213795185,6.0,5.999999824077904
