x,y,yaw,steering_angle,velocity
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0001902,0.0,0.0,0.16854870319366455,4.0
0.013979686632911914,1.4388438974342551e-05,0.0030076319593615353,0.16854870319366455,4.0
0.05144347187782278,0.002657804746839992,0.017634245906495774,0.16854870319366455,4.0
0.11244639396089183,0.00906121578946359,0.04497207332678978,0.16854870319366455,4.0
0.19684656225248828,0.020045420966632973,0.08176764208832908,0.16854870319366455,4.0
0.3039241410163091,0.03722023866688311,0.12616224809469273,0.16854870319366455,4.0
0.42969377734181036,0.0621802370707653,0.17788024736756913,0.16854870319366455,4.0
0.5693166595132816,0.09631076898764375,0.23557843194034953,0.08754462748765945,4.0
0.7193537183233745,0.13867829196990553,0.28034383220170034,0.08754462748765945,4.0
0.8772946561904842,0.1879060598525768,0.31405554018057413,0.020334919914603233,4.0
1.0412469255331427,0.2428409480878159,0.3351469180155599,0.020334919914603233,4.0
1.2101124569580222,0.3015109232242969,0.34420046019907685,-0.031606413424015045,4.0
1.3828471905424655,0.3630161974746402,0.3481080617110576,-0.031606413424015045,4.0
1.5590217633770842,0.42558646454138666,0.3426218096541056,-0.05169342830777168,4.0
